,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1419,201058,Sandrine Gruda,Sandrine,1611661320.0,LAS,30.0,7,4,3,0.571,5.3,0.4,1.3,0.333,0.0,0.0,0.0,0.1,0.1,1.0,0.3,0.3,0.6,0.3,0.1,0.1,0.1,0.1,0.9,0.3,1.0,1.0,2.8,0,0,2.4,934,906,1000,544,1501,1490,1499,1325,1178,1370,1178,1427,1461,1,1216,1532,1512,1381,1505,1374,1014,1195,1376,1478,1504,517,1509,512,39,1528,1
1420,2756,Sasha Vujacic,Sasha,1610612752.0,NYK,33.0,42,14,28,0.333,9.7,1.0,3.2,0.309,0.5,1.8,0.311,0.4,0.6,0.708,0.3,1.1,1.4,1.2,0.4,0.3,0.0,0.1,0.9,0.4,3.0,-0.2,7.2,0,0,6.9,427,606,259,1205,1335,1293,1238,1394,755,772,766,1265,1287,943,1216,1291,1325,738,1395,1214,1215,1240,1359,1408,1299,759,1311,512,39,1311,1
1421,1626228,Satnam Singh,Satnam,1612709918.0,TEX,21.0,8,5,3,0.625,5.4,0.4,1.1,0.333,0.0,0.0,0.0,0.9,1.4,0.636,0.5,0.8,1.3,0.1,0.5,0.1,0.0,0.4,1.3,1.1,1.6,-2.1,3.2,0,0,3.3,914,870,1000,392,1500,1504,1515,1325,1178,1370,1178,964,895,1141,951,1420,1364,1465,1273,1385,1252,708,1187,1013,1455,1122,1498,512,39,1491,1
1422,1627954,Scott Wood,Scott,1612709902.0,SCW,27.0,50,31,19,0.62,30.2,4.3,9.7,0.446,3.3,7.7,0.43,2.0,2.1,0.943,0.2,3.9,4.2,1.2,1.0,0.7,0.2,0.1,2.0,1.4,14.0,3.2,22.5,2,0,24.5,309,209,455,408,237,414,403,700,8,19,164,466,590,127,1277,339,534,751,845,667,988,1254,693,851,288,246,466,281,39,368,1
1423,203930,Sean Kilpatrick,Sean,1610612751.0,BKN,27.0,70,14,56,0.2,25.1,4.4,10.5,0.415,1.5,4.4,0.341,2.9,3.5,0.843,0.3,3.7,4.0,2.2,1.9,0.6,0.1,0.8,1.7,2.6,13.1,-3.2,21.6,4,0,22.3,176,606,4,1414,519,412,334,934,262,245,576,244,302,343,1190,384,552,393,364,765,1143,174,935,414,327,1324,512,193,39,439,1
1424,200671,Seimone Augustus,Seimone,1611661324.0,MIN,33.0,29,24,5,0.828,26.4,4.8,10.3,0.46,0.4,1.3,0.333,1.3,1.6,0.804,0.5,2.4,2.9,2.4,1.9,0.5,0.4,0.2,1.5,1.6,11.2,4.8,19.2,0,0,18.8,663,356,871,109,437,331,355,585,849,911,601,721,808,492,1000,781,867,347,371,903,590,1046,1084,789,442,150,627,512,39,603,1
1425,203902,Semaj Christon,Semaj,1610612760.0,OKC,24.0,64,36,28,0.563,15.2,1.2,3.5,0.345,0.2,1.0,0.19,0.3,0.5,0.548,0.3,1.1,1.4,2.0,0.7,0.4,0.1,0.2,1.2,0.5,2.9,-2.2,8.5,0,0,7.5,231,144,259,569,1068,1254,1205,1311,1071,1042,1095,1358,1341,1294,1211,1308,1346,440,1148,1036,1091,1120,1201,1346,1311,1133,1239,512,39,1271,1
1426,203902,Semaj Christon,Semaj,1612709889.0,OKL,24.0,4,4,0,1.0,33.3,6.0,16.0,0.375,0.5,1.0,0.5,5.5,7.0,0.786,0.5,3.3,3.8,5.3,3.8,1.8,0.3,1.8,2.5,5.3,18.0,2.3,32.6,0,0,31.5,1214,906,1493,1,119,152,59,1172,776,981,56,41,45,586,951,493,619,69,25,83,770,12,421,58,127,340,160,512,39,154,1
1427,201586,Serge Ibaka,Serge,1610612761.0,TOR,27.0,79,37,42,0.468,30.7,6.0,12.4,0.48,1.6,4.0,0.391,1.4,1.6,0.856,1.6,5.2,6.8,0.9,1.3,0.5,1.6,0.4,2.7,1.6,14.8,-1.8,29.4,11,0,28.4,54,130,75,897,216,173,210,464,249,285,300,681,812,293,294,147,175,941,655,902,66,707,320,761,235,1063,230,71,39,225,2
1428,200771,Sergio Rodriguez,Sergio,1610612755.0,PHI,31.0,68,24,44,0.353,22.3,3.1,7.9,0.392,1.4,3.7,0.365,0.3,0.4,0.667,0.3,2.0,2.3,5.1,1.9,0.7,0.1,0.3,1.4,0.7,7.8,-2.0,18.6,1,0,18.1,192,356,57,1190,664,669,580,1101,321,345,428,1359,1384,1047,1195,918,1050,79,372,679,1198,873,1128,1282,734,1107,655,359,39,638,1
